id,modulo_id,titulo,ordem_aula,duracao_minutos,tipo
1,1,Aula 1,1,23,quiz
2,1,Aula 2,2,15,video
3,1,Aula 3,3,10,texto
4,1,Aula 4,4,21,texto
5,1,Aula 5,5,20,texto
6,1,Aula 6,6,20,video
7,1,Aula 7,7,7,texto
8,1,Aula 8,8,21,texto
9,2,Aula 1,1,11,quiz
10,2,Aula 2,2,16,video
11,2,Aula 3,3,6,texto
12,2,Aula 4,4,20,quiz
13,2,Aula 5,5,25,quiz
14,2,Aula 6,6,20,texto
15,2,Aula 7,7,22,video
16,3,Aula 1,1,18,video
17,3,Aula 2,2,13,quiz
18,3,Aula 3,3,16,texto
19,3,Aula 4,4,16,video
20,3,Aula 5,5,17,video
21,3,Aula 6,6,23,quiz
22,4,Aula 1,1,16,quiz
23,4,Aula 2,2,14,video
24,4,Aula 3,3,17,quiz
25,4,Aula 4,4,19,quiz
26,4,Aula 5,5,13,quiz
27,4,Aula 6,6,24,video
28,4,Aula 7,7,9,video
29,5,Aula 1,1,16,texto
30,5,Aula 2,2,22,texto
31,5,Aula 3,3,9,video
32,5,Aula 4,4,24,quiz
33,5,Aula 5,5,17,quiz
34,5,Aula 6,6,6,video
35,5,Aula 7,7,6,video
36,5,Aula 8,8,15,texto
37,5,Aula 9,9,21,texto
38,6,Aula 1,1,24,quiz
39,6,Aula 2,2,9,texto
40,6,Aula 3,3,24,texto
41,6,Aula 4,4,10,texto
42,6,Aula 5,5,24,quiz
43,6,Aula 6,6,14,quiz
44,6,Aula 7,7,15,quiz
45,7,Aula 1,1,23,texto
46,7,Aula 2,2,20,video
47,7,Aula 3,3,16,texto
48,7,Aula 4,4,8,texto
49,7,Aula 5,5,23,texto
50,7,Aula 6,6,25,video
51,7,Aula 7,7,24,texto
52,7,Aula 8,8,13,quiz
53,7,Aula 9,9,23,quiz
54,8,Aula 1,1,6,quiz
55,8,Aula 2,2,20,video
56,8,Aula 3,3,21,quiz
57,8,Aula 4,4,24,texto
58,8,Aula 5,5,9,quiz
59,8,Aula 6,6,12,video
60,8,Aula 7,7,23,quiz
61,9,Aula 1,1,11,video
62,9,Aula 2,2,19,texto
63,9,Aula 3,3,18,video
64,9,Aula 4,4,18,quiz
65,9,Aula 5,5,11,texto
66,9,Aula 6,6,21,quiz
67,10,Aula 1,1,6,quiz
68,10,Aula 2,2,9,quiz
69,10,Aula 3,3,11,quiz
70,10,Aula 4,4,15,quiz
71,10,Aula 5,5,20,quiz
72,10,Aula 6,6,17,texto
73,10,Aula 7,7,10,texto
74,10,Aula 8,8,22,texto
75,10,Aula 9,9,22,texto
76,11,Aula 1,1,24,texto
77,11,Aula 2,2,11,video
78,11,Aula 3,3,13,quiz
79,11,Aula 4,4,14,video
80,11,Aula 5,5,14,texto
81,11,Aula 6,6,11,quiz
82,11,Aula 7,7,20,texto
83,11,Aula 8,8,20,texto
84,12,Aula 1,1,14,video
85,12,Aula 2,2,23,quiz
86,12,Aula 3,3,22,texto
87,12,Aula 4,4,17,texto
88,12,Aula 5,5,9,texto
89,12,Aula 6,6,6,texto
90,12,Aula 7,7,7,texto
91,12,Aula 8,8,19,quiz
92,13,Aula 1,1,20,video
93,13,Aula 2,2,11,quiz
94,13,Aula 3,3,13,quiz
95,13,Aula 4,4,13,video
96,13,Aula 5,5,8,quiz
97,13,Aula 6,6,23,video
98,13,Aula 7,7,12,video
99,13,Aula 8,8,21,video
100,14,Aula 1,1,6,video
101,14,Aula 2,2,18,texto
102,14,Aula 3,3,20,video
103,14,Aula 4,4,9,video
104,14,Aula 5,5,22,video
105,14,Aula 6,6,18,quiz
106,14,Aula 7,7,20,texto
107,15,Aula 1,1,14,texto
108,15,Aula 2,2,14,quiz
109,15,Aula 3,3,6,video
110,15,Aula 4,4,25,quiz
111,15,Aula 5,5,12,quiz
112,15,Aula 6,6,6,video
113,15,Aula 7,7,18,video
114,16,Aula 1,1,17,texto
115,16,Aula 2,2,10,quiz
116,16,Aula 3,3,14,video
117,16,Aula 4,4,5,texto
118,16,Aula 5,5,23,quiz
119,16,Aula 6,6,8,texto
120,17,Aula 1,1,19,quiz
121,17,Aula 2,2,22,quiz
122,17,Aula 3,3,20,video
123,17,Aula 4,4,21,texto
124,17,Aula 5,5,13,video
125,17,Aula 6,6,8,texto
126,17,Aula 7,7,10,quiz
127,17,Aula 8,8,19,quiz
128,18,Aula 1,1,10,video
129,18,Aula 2,2,15,texto
130,18,Aula 3,3,23,quiz
131,18,Aula 4,4,11,video
132,18,Aula 5,5,24,quiz
133,18,Aula 6,6,17,texto
134,18,Aula 7,7,21,texto
135,18,Aula 8,8,7,texto
136,19,Aula 1,1,10,video
137,19,Aula 2,2,20,texto
138,19,Aula 3,3,12,video
139,19,Aula 4,4,13,texto
140,19,Aula 5,5,12,texto
141,19,Aula 6,6,13,texto
142,20,Aula 1,1,23,quiz
143,20,Aula 2,2,23,video
144,20,Aula 3,3,13,quiz
145,20,Aula 4,4,16,quiz
146,20,Aula 5,5,12,video
147,20,Aula 6,6,8,texto
148,20,Aula 7,7,14,video
149,20,Aula 8,8,17,quiz
150,21,Aula 1,1,8,quiz
151,21,Aula 2,2,14,texto
152,21,Aula 3,3,24,video
153,21,Aula 4,4,12,video
154,21,Aula 5,5,20,video
155,21,Aula 6,6,19,quiz
156,21,Aula 7,7,24,texto
157,21,Aula 8,8,18,quiz
158,22,Aula 1,1,22,quiz
159,22,Aula 2,2,11,video
160,22,Aula 3,3,24,video
161,22,Aula 4,4,21,texto
162,22,Aula 5,5,21,quiz
163,22,Aula 6,6,16,video
164,22,Aula 7,7,23,video
165,22,Aula 8,8,6,quiz
166,22,Aula 9,9,21,video
167,23,Aula 1,1,10,texto
168,23,Aula 2,2,21,texto
169,23,Aula 3,3,8,quiz
170,23,Aula 4,4,11,quiz
171,23,Aula 5,5,23,texto
172,23,Aula 6,6,7,quiz
173,23,Aula 7,7,19,video
174,24,Aula 1,1,9,quiz
175,24,Aula 2,2,18,texto
176,24,Aula 3,3,23,video
177,24,Aula 4,4,22,texto
178,24,Aula 5,5,14,quiz
179,24,Aula 6,6,5,texto
180,24,Aula 7,7,13,video
181,24,Aula 8,8,11,quiz
182,24,Aula 9,9,7,video
183,25,Aula 1,1,16,quiz
184,25,Aula 2,2,7,quiz
185,25,Aula 3,3,6,video
186,25,Aula 4,4,20,video
187,25,Aula 5,5,14,texto
188,25,Aula 6,6,10,video
189,25,Aula 7,7,25,quiz
190,25,Aula 8,8,25,texto
191,25,Aula 9,9,16,texto
192,26,Aula 1,1,17,texto
193,26,Aula 2,2,7,quiz
194,26,Aula 3,3,22,video
195,26,Aula 4,4,25,texto
196,26,Aula 5,5,8,video
197,26,Aula 6,6,22,texto
198,26,Aula 7,7,21,video
199,26,Aula 8,8,12,video
200,26,Aula 9,9,5,texto
201,27,Aula 1,1,22,texto
202,27,Aula 2,2,22,texto
203,27,Aula 3,3,12,video
204,27,Aula 4,4,19,texto
205,27,Aula 5,5,9,texto
206,27,Aula 6,6,11,quiz
207,27,Aula 7,7,8,video
208,27,Aula 8,8,18,quiz
209,27,Aula 9,9,5,video
210,28,Aula 1,1,7,video
211,28,Aula 2,2,24,video
212,28,Aula 3,3,19,quiz
213,28,Aula 4,4,6,video
214,28,Aula 5,5,6,texto
215,28,Aula 6,6,19,video
216,28,Aula 7,7,22,video
217,29,Aula 1,1,9,quiz
218,29,Aula 2,2,14,video
219,29,Aula 3,3,23,texto
220,29,Aula 4,4,23,quiz
221,29,Aula 5,5,15,video
222,29,Aula 6,6,14,video
223,30,Aula 1,1,18,texto
224,30,Aula 2,2,13,video
225,30,Aula 3,3,22,quiz
226,30,Aula 4,4,10,quiz
227,30,Aula 5,5,18,quiz
228,30,Aula 6,6,20,video
229,30,Aula 7,7,16,quiz
230,31,Aula 1,1,21,texto
231,31,Aula 2,2,18,texto
232,31,Aula 3,3,9,texto
233,31,Aula 4,4,17,video
234,31,Aula 5,5,22,texto
235,31,Aula 6,6,12,video
236,31,Aula 7,7,14,quiz
237,31,Aula 8,8,9,texto
238,31,Aula 9,9,6,quiz
239,32,Aula 1,1,18,quiz
240,32,Aula 2,2,21,video
241,32,Aula 3,3,17,video
242,32,Aula 4,4,13,video
243,32,Aula 5,5,15,quiz
244,32,Aula 6,6,7,texto
245,32,Aula 7,7,16,video
246,32,Aula 8,8,22,quiz
247,32,Aula 9,9,11,video
248,33,Aula 1,1,17,quiz
249,33,Aula 2,2,24,quiz
250,33,Aula 3,3,6,video
251,33,Aula 4,4,11,quiz
252,33,Aula 5,5,22,video
253,33,Aula 6,6,20,video
254,33,Aula 7,7,15,texto
255,33,Aula 8,8,5,video
256,34,Aula 1,1,8,quiz
257,34,Aula 2,2,20,video
258,34,Aula 3,3,24,quiz
259,34,Aula 4,4,11,texto
260,34,Aula 5,5,12,quiz
261,34,Aula 6,6,15,texto
262,34,Aula 7,7,17,texto
263,35,Aula 1,1,14,texto
264,35,Aula 2,2,16,quiz
265,35,Aula 3,3,20,texto
266,35,Aula 4,4,8,quiz
267,35,Aula 5,5,20,texto
268,35,Aula 6,6,11,texto
269,35,Aula 7,7,15,texto
270,35,Aula 8,8,6,quiz
271,36,Aula 1,1,9,video
272,36,Aula 2,2,13,quiz
273,36,Aula 3,3,23,quiz
274,36,Aula 4,4,18,texto
275,36,Aula 5,5,9,video
276,36,Aula 6,6,15,video
277,36,Aula 7,7,17,quiz
278,37,Aula 1,1,20,quiz
279,37,Aula 2,2,25,quiz
280,37,Aula 3,3,15,texto
281,37,Aula 4,4,20,quiz
282,37,Aula 5,5,25,quiz
283,37,Aula 6,6,20,texto
284,37,Aula 7,7,10,quiz
285,38,Aula 1,1,10,video
286,38,Aula 2,2,22,texto
287,38,Aula 3,3,10,quiz
288,38,Aula 4,4,25,video
289,38,Aula 5,5,21,video
290,38,Aula 6,6,7,quiz
291,38,Aula 7,7,6,video
292,38,Aula 8,8,18,video
293,39,Aula 1,1,7,quiz
294,39,Aula 2,2,9,video
295,39,Aula 3,3,11,quiz
296,39,Aula 4,4,19,texto
297,39,Aula 5,5,6,quiz
298,39,Aula 6,6,25,quiz
299,39,Aula 7,7,24,texto
300,40,Aula 1,1,5,video
301,40,Aula 2,2,22,quiz
302,40,Aula 3,3,18,video
303,40,Aula 4,4,5,quiz
304,40,Aula 5,5,13,quiz
305,40,Aula 6,6,14,video
306,40,Aula 7,7,21,quiz
307,40,Aula 8,8,18,video
308,40,Aula 9,9,8,video
309,41,Aula 1,1,12,video
310,41,Aula 2,2,24,quiz
311,41,Aula 3,3,13,texto
312,41,Aula 4,4,13,texto
313,41,Aula 5,5,7,texto
314,41,Aula 6,6,17,texto
315,41,Aula 7,7,23,video
316,42,Aula 1,1,14,quiz
317,42,Aula 2,2,7,quiz
318,42,Aula 3,3,25,video
319,42,Aula 4,4,7,texto
320,42,Aula 5,5,17,texto
321,42,Aula 6,6,22,texto
322,42,Aula 7,7,6,quiz
323,43,Aula 1,1,10,video
324,43,Aula 2,2,20,texto
325,43,Aula 3,3,25,texto
326,43,Aula 4,4,23,video
327,43,Aula 5,5,21,video
328,43,Aula 6,6,12,video
329,44,Aula 1,1,13,video
330,44,Aula 2,2,7,quiz
331,44,Aula 3,3,13,quiz
332,44,Aula 4,4,23,quiz
333,44,Aula 5,5,6,video
334,44,Aula 6,6,15,video
335,44,Aula 7,7,11,quiz
336,44,Aula 8,8,9,quiz
337,44,Aula 9,9,17,video
338,45,Aula 1,1,10,quiz
339,45,Aula 2,2,12,quiz
340,45,Aula 3,3,17,quiz
341,45,Aula 4,4,22,texto
342,45,Aula 5,5,17,quiz
343,45,Aula 6,6,9,quiz
344,45,Aula 7,7,7,quiz
345,45,Aula 8,8,16,video
346,46,Aula 1,1,18,video
347,46,Aula 2,2,7,texto
348,46,Aula 3,3,24,quiz
349,46,Aula 4,4,24,texto
350,46,Aula 5,5,15,video
351,46,Aula 6,6,25,texto
352,47,Aula 1,1,20,video
353,47,Aula 2,2,16,quiz
354,47,Aula 3,3,17,texto
355,47,Aula 4,4,10,quiz
356,47,Aula 5,5,23,quiz
357,47,Aula 6,6,17,video
358,47,Aula 7,7,24,texto
359,47,Aula 8,8,12,quiz
360,47,Aula 9,9,7,video
361,48,Aula 1,1,9,texto
362,48,Aula 2,2,25,video
363,48,Aula 3,3,17,texto
364,48,Aula 4,4,16,video
365,48,Aula 5,5,7,video
366,48,Aula 6,6,14,texto
367,48,Aula 7,7,16,texto
368,48,Aula 8,8,8,video
369,49,Aula 1,1,10,texto
370,49,Aula 2,2,19,quiz
371,49,Aula 3,3,22,quiz
372,49,Aula 4,4,18,video
373,49,Aula 5,5,5,video
374,49,Aula 6,6,16,quiz
375,50,Aula 1,1,24,quiz
376,50,Aula 2,2,15,texto
377,50,Aula 3,3,5,texto
378,50,Aula 4,4,18,texto
379,50,Aula 5,5,7,quiz
380,50,Aula 6,6,22,video
381,51,Aula 1,1,17,video
382,51,Aula 2,2,9,texto
383,51,Aula 3,3,14,texto
384,51,Aula 4,4,20,video
385,51,Aula 5,5,7,video
386,51,Aula 6,6,18,texto
387,51,Aula 7,7,18,texto
388,52,Aula 1,1,7,texto
389,52,Aula 2,2,13,video
390,52,Aula 3,3,25,texto
391,52,Aula 4,4,24,quiz
392,52,Aula 5,5,11,texto
393,52,Aula 6,6,8,video
394,52,Aula 7,7,14,video
395,52,Aula 8,8,17,texto
396,52,Aula 9,9,24,texto
397,53,Aula 1,1,19,texto
398,53,Aula 2,2,18,quiz
399,53,Aula 3,3,24,video
400,53,Aula 4,4,14,texto
401,53,Aula 5,5,24,quiz
402,53,Aula 6,6,11,texto
403,53,Aula 7,7,15,video
404,53,Aula 8,8,17,texto
405,54,Aula 1,1,25,texto
406,54,Aula 2,2,23,video
407,54,Aula 3,3,15,texto
408,54,Aula 4,4,13,texto
409,54,Aula 5,5,16,video
410,54,Aula 6,6,23,video
411,54,Aula 7,7,23,quiz
412,54,Aula 8,8,10,quiz
413,55,Aula 1,1,19,quiz
414,55,Aula 2,2,11,texto
415,55,Aula 3,3,14,quiz
416,55,Aula 4,4,7,texto
417,55,Aula 5,5,20,video
418,55,Aula 6,6,25,texto
419,56,Aula 1,1,13,quiz
420,56,Aula 2,2,9,quiz
421,56,Aula 3,3,18,texto
422,56,Aula 4,4,7,texto
423,56,Aula 5,5,24,texto
424,56,Aula 6,6,23,texto
425,56,Aula 7,7,22,quiz
426,57,Aula 1,1,22,video
427,57,Aula 2,2,16,quiz
428,57,Aula 3,3,22,quiz
429,57,Aula 4,4,25,video
430,57,Aula 5,5,8,video
431,57,Aula 6,6,16,video
432,57,Aula 7,7,25,quiz
433,57,Aula 8,8,6,quiz
434,57,Aula 9,9,25,quiz
435,58,Aula 1,1,15,texto
436,58,Aula 2,2,8,video
437,58,Aula 3,3,8,texto
438,58,Aula 4,4,12,quiz
439,58,Aula 5,5,21,quiz
440,58,Aula 6,6,23,quiz
441,58,Aula 7,7,23,video
442,58,Aula 8,8,19,texto
443,58,Aula 9,9,17,texto
444,59,Aula 1,1,16,video
445,59,Aula 2,2,20,video
446,59,Aula 3,3,14,texto
447,59,Aula 4,4,7,video
448,59,Aula 5,5,9,texto
449,59,Aula 6,6,14,texto
450,59,Aula 7,7,19,video
451,60,Aula 1,1,16,texto
452,60,Aula 2,2,8,texto
453,60,Aula 3,3,19,texto
454,60,Aula 4,4,7,texto
455,60,Aula 5,5,6,quiz
456,60,Aula 6,6,8,video
457,60,Aula 7,7,15,quiz
458,60,Aula 8,8,8,quiz
459,60,Aula 9,9,10,quiz
460,61,Aula 1,1,21,video
461,61,Aula 2,2,22,video
462,61,Aula 3,3,15,quiz
463,61,Aula 4,4,18,texto
464,61,Aula 5,5,12,texto
465,61,Aula 6,6,25,video
466,61,Aula 7,7,10,quiz
467,62,Aula 1,1,17,video
468,62,Aula 2,2,24,video
469,62,Aula 3,3,19,quiz
470,62,Aula 4,4,18,texto
471,62,Aula 5,5,5,quiz
472,62,Aula 6,6,11,video
473,62,Aula 7,7,13,quiz
474,62,Aula 8,8,7,quiz
475,62,Aula 9,9,8,quiz
476,63,Aula 1,1,16,texto
477,63,Aula 2,2,11,texto
478,63,Aula 3,3,8,texto
479,63,Aula 4,4,20,quiz
480,63,Aula 5,5,25,texto
481,63,Aula 6,6,24,texto
482,63,Aula 7,7,24,texto
483,64,Aula 1,1,16,texto
484,64,Aula 2,2,19,quiz
485,64,Aula 3,3,10,quiz
486,64,Aula 4,4,14,quiz
487,64,Aula 5,5,23,video
488,64,Aula 6,6,9,texto
489,65,Aula 1,1,12,texto
490,65,Aula 2,2,8,video
491,65,Aula 3,3,16,quiz
492,65,Aula 4,4,9,quiz
493,65,Aula 5,5,17,texto
494,65,Aula 6,6,24,video
495,66,Aula 1,1,18,video
496,66,Aula 2,2,20,quiz
497,66,Aula 3,3,22,quiz
498,66,Aula 4,4,25,video
499,66,Aula 5,5,22,video
500,66,Aula 6,6,20,texto
501,66,Aula 7,7,9,video
502,66,Aula 8,8,15,texto
503,66,Aula 9,9,24,video
504,67,Aula 1,1,5,texto
505,67,Aula 2,2,9,video
506,67,Aula 3,3,17,quiz
507,67,Aula 4,4,21,quiz
508,67,Aula 5,5,20,texto
509,67,Aula 6,6,20,texto
510,67,Aula 7,7,19,texto
511,67,Aula 8,8,10,video
512,68,Aula 1,1,12,texto
513,68,Aula 2,2,6,texto
514,68,Aula 3,3,12,quiz
515,68,Aula 4,4,14,video
516,68,Aula 5,5,19,quiz
517,68,Aula 6,6,20,quiz
518,69,Aula 1,1,23,video
519,69,Aula 2,2,13,quiz
520,69,Aula 3,3,16,quiz
521,69,Aula 4,4,6,quiz
522,69,Aula 5,5,19,quiz
523,69,Aula 6,6,11,texto
524,70,Aula 1,1,25,video
525,70,Aula 2,2,14,video
526,70,Aula 3,3,19,texto
527,70,Aula 4,4,16,video
528,70,Aula 5,5,19,video
529,70,Aula 6,6,12,video
530,71,Aula 1,1,24,quiz
531,71,Aula 2,2,18,video
532,71,Aula 3,3,24,video
533,71,Aula 4,4,11,video
534,71,Aula 5,5,6,quiz
535,71,Aula 6,6,16,quiz
536,71,Aula 7,7,13,quiz
537,71,Aula 8,8,22,video
538,72,Aula 1,1,14,texto
539,72,Aula 2,2,23,texto
540,72,Aula 3,3,21,quiz
541,72,Aula 4,4,8,video
542,72,Aula 5,5,18,video
543,72,Aula 6,6,13,quiz
544,72,Aula 7,7,9,quiz
545,72,Aula 8,8,9,video
546,73,Aula 1,1,15,video
547,73,Aula 2,2,17,texto
548,73,Aula 3,3,9,quiz
549,73,Aula 4,4,25,texto
550,73,Aula 5,5,25,texto
551,73,Aula 6,6,17,texto
552,73,Aula 7,7,7,quiz
553,74,Aula 1,1,17,quiz
554,74,Aula 2,2,13,quiz
555,74,Aula 3,3,16,texto
556,74,Aula 4,4,20,texto
557,74,Aula 5,5,23,video
558,74,Aula 6,6,7,quiz
559,75,Aula 1,1,25,quiz
560,75,Aula 2,2,16,video
561,75,Aula 3,3,22,texto
562,75,Aula 4,4,11,texto
563,75,Aula 5,5,11,texto
564,75,Aula 6,6,13,texto
565,75,Aula 7,7,14,texto
566,75,Aula 8,8,22,quiz
567,75,Aula 9,9,9,quiz
568,76,Aula 1,1,15,quiz
569,76,Aula 2,2,6,video
570,76,Aula 3,3,8,quiz
571,76,Aula 4,4,19,video
572,76,Aula 5,5,8,video
573,76,Aula 6,6,19,texto
574,76,Aula 7,7,5,texto
575,76,Aula 8,8,11,quiz
576,76,Aula 9,9,9,quiz
577,77,Aula 1,1,10,texto
578,77,Aula 2,2,7,quiz
579,77,Aula 3,3,16,texto
580,77,Aula 4,4,7,texto
581,77,Aula 5,5,25,video
582,77,Aula 6,6,6,texto
583,77,Aula 7,7,25,texto
584,77,Aula 8,8,12,texto
585,78,Aula 1,1,8,video
586,78,Aula 2,2,11,texto
587,78,Aula 3,3,7,video
588,78,Aula 4,4,23,video
589,78,Aula 5,5,21,quiz
590,78,Aula 6,6,19,video
591,79,Aula 1,1,15,video
592,79,Aula 2,2,18,quiz
593,79,Aula 3,3,9,texto
594,79,Aula 4,4,7,video
595,79,Aula 5,5,17,video
596,79,Aula 6,6,8,video
597,80,Aula 1,1,16,texto
598,80,Aula 2,2,9,texto
599,80,Aula 3,3,9,quiz
600,80,Aula 4,4,9,video
601,80,Aula 5,5,21,quiz
602,80,Aula 6,6,5,quiz
603,80,Aula 7,7,25,video
604,80,Aula 8,8,19,texto
605,81,Aula 1,1,25,quiz
606,81,Aula 2,2,9,texto
607,81,Aula 3,3,24,quiz
608,81,Aula 4,4,19,video
609,81,Aula 5,5,7,video
610,81,Aula 6,6,9,video
611,81,Aula 7,7,23,quiz
612,82,Aula 1,1,16,texto
613,82,Aula 2,2,15,video
614,82,Aula 3,3,12,texto
615,82,Aula 4,4,25,video
616,82,Aula 5,5,12,quiz
617,82,Aula 6,6,24,quiz
618,82,Aula 7,7,24,texto
619,82,Aula 8,8,5,quiz
620,82,Aula 9,9,14,video
621,83,Aula 1,1,17,texto
622,83,Aula 2,2,25,video
623,83,Aula 3,3,12,texto
624,83,Aula 4,4,17,video
625,83,Aula 5,5,12,texto
626,83,Aula 6,6,25,quiz
627,83,Aula 7,7,7,quiz
628,84,Aula 1,1,16,texto
629,84,Aula 2,2,9,texto
630,84,Aula 3,3,23,texto
631,84,Aula 4,4,16,quiz
632,84,Aula 5,5,10,texto
633,84,Aula 6,6,7,video
634,85,Aula 1,1,5,texto
635,85,Aula 2,2,11,video
636,85,Aula 3,3,6,texto
637,85,Aula 4,4,21,texto
638,85,Aula 5,5,25,quiz
639,85,Aula 6,6,21,texto
640,86,Aula 1,1,17,video
641,86,Aula 2,2,25,quiz
642,86,Aula 3,3,22,quiz
643,86,Aula 4,4,9,texto
644,86,Aula 5,5,7,texto
645,86,Aula 6,6,7,quiz
646,86,Aula 7,7,11,video
647,86,Aula 8,8,22,texto
648,86,Aula 9,9,17,quiz
649,87,Aula 1,1,14,quiz
650,87,Aula 2,2,18,quiz
651,87,Aula 3,3,12,video
652,87,Aula 4,4,12,video
653,87,Aula 5,5,18,video
654,87,Aula 6,6,19,quiz
655,88,Aula 1,1,14,quiz
656,88,Aula 2,2,10,video
657,88,Aula 3,3,5,quiz
658,88,Aula 4,4,9,quiz
659,88,Aula 5,5,5,video
660,88,Aula 6,6,20,texto
661,89,Aula 1,1,10,texto
662,89,Aula 2,2,9,quiz
663,89,Aula 3,3,13,quiz
664,89,Aula 4,4,8,video
665,89,Aula 5,5,15,texto
666,89,Aula 6,6,13,quiz
667,89,Aula 7,7,7,texto
668,89,Aula 8,8,23,quiz
669,90,Aula 1,1,20,texto
670,90,Aula 2,2,21,texto
671,90,Aula 3,3,6,texto
672,90,Aula 4,4,23,video
673,90,Aula 5,5,16,video
674,90,Aula 6,6,13,video
675,91,Aula 1,1,12,quiz
676,91,Aula 2,2,21,video
677,91,Aula 3,3,6,video
678,91,Aula 4,4,12,video
679,91,Aula 5,5,20,texto
680,91,Aula 6,6,17,video
681,92,Aula 1,1,6,quiz
