id,matricula_id,nota,comentario,data_avaliacao
1,1,1,Fugit temporibus id assumenda ducimus incidunt possimus modi architecto.,2023-10-27
2,3,2,Voluptatum possimus deserunt fuga omnis reprehenderit non in corrupti.,2025-06-23
3,5,2,Fugiat vitae dolorum earum minus placeat illum eveniet at tenetur quod.,2025-04-29
4,6,5,Sit dolorem ab fugiat voluptas fugiat autem.,2024-09-24
5,7,1,Cupiditate quas esse reprehenderit laudantium minus praesentium.,2025-09-09
6,8,5,Mollitia non tempore cupiditate veniam harum exercitationem qui voluptas.,2023-12-07
7,12,5,Mollitia sunt illo nihil ea placeat quae omnis consequuntur necessitatibus eaque ullam.,2025-07-31
8,13,4,Provident dolorum non provident delectus voluptates reiciendis magnam eius incidunt.,2025-07-21
9,14,2,Esse similique veniam illo est at aspernatur quas.,2024-04-06
10,18,5,Cumque animi quia mollitia laudantium soluta vitae.,2025-09-06
11,19,5,Perspiciatis ut consequatur libero placeat perspiciatis minus commodi accusamus deleniti rerum.,2024-01-07
12,20,3,Quae praesentium quibusdam doloribus qui veritatis.,2024-09-01
13,21,1,Placeat aliquam ipsum cumque ut quis temporibus cupiditate facilis consequatur explicabo amet.,2025-09-20
14,22,1,Fugiat fuga beatae totam dolorum molestiae quisquam blanditiis error eos distinctio qui.,2024-07-13
15,24,3,Hic ullam ut vero maiores tempora vel tempora sed animi ab itaque error.,2024-11-21
16,25,1,A tempora delectus explicabo aut laudantium assumenda.,2024-11-20
17,27,4,Tempore illum totam ab quo dolorum iusto fugiat facilis tempora modi earum.,2023-12-10
18,28,1,Omnis ipsa consequuntur quia ab sunt quae beatae eligendi consequatur in.,2025-08-11
19,30,3,Tempore cum dicta laboriosam pariatur eaque in mollitia reiciendis quaerat.,2024-12-23
20,36,4,Quibusdam quos id quas quia repudiandae consectetur vero recusandae commodi.,2024-04-18
21,37,5,Magnam quisquam dolores perspiciatis exercitationem voluptate qui ipsa enim laborum.,2024-02-27
22,39,5,Dolorum corrupti maiores dolorum quisquam sint voluptatibus dolorum reprehenderit dicta provident.,2024-02-04
23,40,5,Praesentium magnam debitis voluptatibus nihil odio dolorem.,2025-04-08
24,41,2,Illo earum deleniti corporis accusantium dicta sint.,2024-12-27
25,42,5,Illum esse odio doloremque excepturi laboriosam magni officia esse earum.,2024-03-22
26,44,5,Velit quae doloribus tempora delectus a optio eum eligendi.,2024-07-12
27,45,5,Tenetur aut delectus veniam facilis esse atque accusamus mollitia.,2024-08-07
28,49,4,Ex qui facere quod minus fuga officiis.,2024-02-04
29,50,3,Nesciunt assumenda autem occaecati nobis aliquam voluptas sunt.,2024-02-27
30,51,4,Deserunt ipsum atque velit nulla error labore quis.,2025-08-06
31,52,4,Quam aliquam deleniti mollitia dolorum soluta sequi tenetur voluptate tempora ipsum quaerat.,2025-10-01
32,53,1,Architecto in ut magnam accusantium nobis possimus consectetur aliquid necessitatibus recusandae.,2025-07-27
33,54,3,Qui id placeat sit voluptas cumque quibusdam fugit.,2024-07-16
34,55,5,Id earum delectus cum dolor possimus sunt ratione iste provident.,2025-04-16
35,56,1,Ea sequi eos eaque blanditiis dolore modi eos odit velit eius consequatur.,2024-04-07
36,63,5,Odit dolorum reprehenderit modi a expedita.,2024-12-08
37,64,4,Voluptas eveniet veniam sunt eaque consequatur tempore eos voluptates numquam ab explicabo quas.,2025-01-01
38,66,3,Debitis voluptas modi voluptatem quod quos autem quia fugit.,2024-09-25
39,67,1,Sit odio mollitia repellendus dolore eaque neque repellat quidem.,2025-07-18
40,71,5,Ipsum quas inventore corporis laboriosam libero itaque.,2023-10-26
41,72,2,Deleniti laudantium quas officia accusantium cum debitis hic.,2024-08-04
42,73,2,Deleniti corporis incidunt iste officia illo quam consequatur quibusdam accusamus aut fugit beatae.,2024-02-15
43,74,5,Quis officia aliquam dolorum assumenda consequuntur.,2025-08-09
44,75,3,Nobis recusandae ab recusandae molestiae repellendus sequi assumenda consequuntur quis tempora repellendus esse laboriosam.,2024-10-14
45,77,5,Animi porro occaecati commodi repudiandae aut error maiores saepe.,2024-11-04
46,78,1,A dolore dolorem harum explicabo enim ullam.,2024-12-02
47,80,5,Placeat quaerat temporibus laudantium voluptatibus dolore vero eligendi asperiores ex.,2025-06-03
48,82,1,Unde ullam tempora non debitis minus nobis perspiciatis corrupti pariatur.,2023-10-28
49,83,1,Numquam enim soluta earum libero fuga eaque tenetur reiciendis.,2025-08-21
50,84,3,Similique voluptatem quod corporis corporis ipsum.,2024-08-31
51,86,2,Repellendus beatae incidunt quas corporis eum consectetur quisquam explicabo laudantium laboriosam voluptate.,2025-06-07
52,88,2,Recusandae ex reiciendis omnis doloribus in libero modi minus reprehenderit harum neque in.,2024-05-27
53,93,1,Quod repellat dolor assumenda facere dicta sed facere labore consequatur beatae tenetur facere.,2025-07-25
54,94,5,Eos corporis sequi voluptas totam doloribus repudiandae.,2025-04-20
55,97,2,Quia blanditiis possimus corporis quasi possimus.,2024-08-22
56,98,5,Fuga praesentium optio asperiores saepe sit adipisci facilis aspernatur aspernatur necessitatibus.,2024-10-08
57,99,1,Corrupti delectus quia quibusdam praesentium error illum excepturi quos possimus enim.,2024-10-30
58,102,1,Animi odit nobis cupiditate cum id incidunt.,2024-03-15
59,107,1,Mollitia repudiandae ullam magnam quae incidunt culpa voluptate maxime voluptate commodi.,2024-12-06
60,108,1,Id animi hic reprehenderit voluptate non aspernatur possimus.,2024-10-18
61,111,5,Et odit repudiandae cum rem officia deserunt autem aspernatur nobis sed adipisci.,2025-06-07
62,112,4,Cum autem distinctio ab tenetur deleniti dicta ut dolores.,2025-08-13
63,115,4,Voluptate natus natus ratione aliquid et velit.,2025-02-04
64,116,5,Voluptatem quibusdam vero magnam et hic.,2024-03-16
65,118,3,Voluptate praesentium atque illum qui aut rem corrupti nesciunt fugit.,2025-03-06
66,119,5,Sit alias cum placeat aspernatur numquam veritatis doloremque dolor placeat consequuntur quaerat voluptatibus.,2024-05-08
67,120,5,Maiores quas officiis ut exercitationem quos excepturi facere sequi inventore tempora quo.,2024-03-17
68,122,2,Dolores voluptatum non vero necessitatibus voluptatibus atque accusamus quisquam est.,2024-02-23
69,123,4,Libero iste cumque eos architecto nemo explicabo.,2025-06-28
70,125,5,Debitis quo ducimus labore ducimus soluta.,2024-05-15
71,127,3,Velit voluptas laborum facilis enim illum nulla.,2024-04-22
72,128,1,Ipsam maiores numquam et assumenda impedit ipsum.,2025-09-18
73,129,2,Nulla officia qui doloribus reprehenderit ab.,2024-10-29
74,131,2,Enim culpa id asperiores harum iure atque.,2025-08-15
75,133,3,Iusto modi repellendus autem debitis autem vero id inventore illo aperiam.,2024-08-02
76,134,2,Voluptatum laborum praesentium labore eius alias culpa iusto odit eum.,2024-11-13
77,135,1,Voluptates quo aperiam repellat ratione voluptatem.,2024-09-04
78,137,4,Amet sint veritatis placeat earum odio assumenda architecto.,2024-07-23
79,139,3,Aspernatur soluta iste in distinctio tempora delectus amet tempora incidunt vitae.,2024-12-22
80,140,5,Cum expedita in labore porro cum possimus explicabo possimus.,2024-12-18
81,141,2,Reprehenderit natus tempora dicta quam neque corporis optio reprehenderit quasi.,2024-09-28
82,143,2,Accusamus tempore ut libero et recusandae perferendis ea quam voluptates.,2024-04-20
83,144,1,Odio odit neque alias quia deleniti possimus.,2024-07-25
84,147,4,Nobis dolor distinctio deleniti perspiciatis veritatis fuga facilis.,2024-01-29
85,148,3,Tempore magnam sint praesentium officiis iste illum explicabo molestiae.,2024-09-13
86,149,2,Voluptate excepturi unde itaque fuga mollitia cum ipsa eligendi optio perspiciatis odio.,2025-10-15
87,150,3,Vel temporibus aut assumenda saepe at accusamus ut aut quibusdam numquam molestias odio.,2024-11-27
88,151,3,Neque adipisci enim in dolore iste fugit deserunt iusto commodi voluptas totam.,2025-09-26
89,152,2,Tenetur officia quos id velit quos magni eaque omnis esse temporibus.,2025-07-15
90,154,5,Perferendis a tenetur adipisci ad ratione sapiente maxime qui et cupiditate.,2024-09-23
91,157,3,Voluptatibus doloribus voluptate deserunt officia repudiandae reiciendis neque consectetur odio voluptate cupiditate temporibus.,2023-11-03
92,159,2,Culpa doloremque quae commodi blanditiis neque hic quis totam saepe culpa eum.,2025-05-05
93,160,5,At ipsa occaecati nihil adipisci provident ullam.,2024-10-10
94,161,3,Nemo ad quasi voluptatem odio quod delectus.,2023-11-10
95,166,3,Error modi doloribus quod ratione quo omnis eius.,2024-03-24
96,168,2,Occaecati odit neque aut itaque nisi autem.,2024-08-24
97,169,1,Ea debitis aspernatur sapiente totam dignissimos aut recusandae impedit.,2024-11-13
98,173,5,Vero asperiores porro fugiat et tenetur repellat debitis ab debitis necessitatibus non.,2025-02-01
99,176,3,Blanditiis exercitationem expedita voluptatum nobis a.,2025-09-10
100,177,4,Qui unde deserunt adipisci ad maiores corrupti sint beatae dolor eveniet dolor.,2023-11-03
101,179,5,Eaque laboriosam veritatis expedita mollitia eos quia.,2025-09-04
102,182,1,Ipsa veniam ullam dolorum dicta sapiente quaerat vitae aut recusandae nesciunt cumque.,2025-03-03
103,183,4,Veritatis laborum sunt incidunt quia repellendus numquam non.,2025-01-03
104,184,3,Dicta explicabo tempore reprehenderit ipsum suscipit vero ducimus illum nobis soluta.,2025-10-12
105,187,3,Explicabo adipisci debitis eum ratione facere asperiores omnis fuga quod commodi et.,2025-06-18
106,189,5,Quaerat distinctio necessitatibus eum doloremque architecto.,2024-02-06
107,190,5,Nobis minima aut eius non sunt similique asperiores tempora.,2024-12-21
108,192,2,Placeat ipsa repellendus dicta amet laudantium aliquid earum blanditiis iste nobis.,2023-12-25
109,195,5,Fugit nemo eligendi officia sequi voluptates tenetur eligendi sapiente illo tempore ullam aliquam.,2024-10-22
110,197,3,Architecto atque rem quam earum quidem.,2023-11-22
111,198,1,Aspernatur quo laudantium aliquid error voluptates laudantium odit tenetur sapiente vel.,2024-10-19
112,199,1,Adipisci aliquid ab autem eum porro ipsa.,2024-09-02
113,203,4,At quam repellat repellendus modi a porro amet.,2024-04-13
114,204,4,Beatae veniam asperiores eveniet nostrum repellat.,2024-08-01
115,205,2,Praesentium unde nesciunt blanditiis eum corporis nesciunt sed tempora.,2024-06-21
116,206,2,Pariatur maxime dolores labore laudantium eligendi quo laboriosam at quisquam quae.,2025-03-15
117,208,5,Nam sit optio quasi dignissimos aspernatur voluptas animi accusamus dolor.,2023-11-09
