curso_id,categoria_id
1,10
1,8
1,2
2,8
3,9
3,1
3,12
4,4
4,3
4,5
5,1
5,10
6,4
6,10
7,3
7,11
8,2
8,9
8,6
9,9
10,9
10,12
10,11
11,7
12,1
12,11
13,6
13,5
14,1
14,6
14,2
15,4
15,11
16,2
16,10
16,6
17,1
18,9
18,6
19,3
19,11
19,8
20,8
20,11
20,3
21,2
22,8
22,1
22,5
23,1
24,1
25,5
25,9
26,9
26,8
27,1
27,11
28,5
29,1
29,11
30,5
30,2
31,7
31,12
32,8
32,7
32,6
33,8
34,8
34,6
34,9
35,2
35,7
36,7
37,3
37,9
37,5
38,2
38,12
39,11
39,5
40,8
40,10
41,7
41,3
41,8
42,8
42,1
43,6
43,10
43,7
44,11
44,1
45,11
46,7
46,6
46,9
47,11
47,3
47,1
48,10
49,8
49,1
49,3
50,4
51,6
51,12
51,7
52,1
52,10
52,3
53,8
53,6
53,11
54,2
54,10
55,9
56,7
56,6
57,5
57,4
57,2
58,12
59,8
60,7
60,9
60,2
61,5
61,8
62,10
63,12
63,8
64,2
65,2
66,3
66,8
67,11
68,11
68,6
69,2
69,9
69,11
70,5
70,3
71,12
71,11
71,3
72,9
72,4
73,4
74,4
75,1
75,6
76,10
76,6
76,8
77,3
77,10
77,2
78,5
79,12
79,8
80,7
80,12
80,10
