id,instrutor_id,titulo,descricao,nivel,preco,carga_horaria,data_criacao,ultima_alteracao
1,15,Curso Reprehenderit 1,Accusamus officiis possimus aperiam blanditiis esse illo magnam tempora provident est blanditiis totam eos nostrum.,avançado,214.09,22,2025-07-25 02:47:23,2025-08-14 02:47:23
2,24,Formação Est 2,Laboriosam iste voluptates fuga praesentium totam quidem reiciendis repudiandae.,iniciante,140.26,75,2024-10-15 18:12:24,2024-11-16 18:12:24
3,9,Curso Expedita 3,Sit aspernatur ipsum provident aspernatur natus aperiam molestias magnam nemo corrupti eveniet maxime blanditiis dignissimos nesciunt.,intermediario,461.22,67,2024-12-27 01:12:07,2025-01-03 01:12:07
4,15,Curso Consectetur 4,Ipsum animi consequatur impedit natus nam perferendis est accusantium ducimus a dolor asperiores incidunt praesentium.,iniciante,389.27,34,2023-12-02 23:03:54,2024-01-06 23:03:54
5,12,Curso Quis 5,Vel architecto ut adipisci illum quisquam quisquam voluptatem.,intermediario,56.16,74,2025-06-20 20:58:34,2025-07-13 20:58:34
6,22,Bootcamp Tenetur 6,Fugiat tempora ipsum totam fugiat aspernatur vitae soluta consequatur similique blanditiis voluptatibus hic.,avançado,167.87,54,2024-01-11 00:00:34,2024-01-17 00:00:34
7,22,Curso Debitis 7,Rerum quidem voluptatem iure quaerat incidunt fugit dolorem itaque culpa.,intermediario,61.16,77,2024-11-23 15:19:19,2024-12-07 15:19:19
8,21,Curso Eaque 8,Adipisci optio nostrum vel suscipit dolores architecto nisi.,avançado,420.63,44,2023-12-30 22:40:07,2024-01-06 22:40:07
9,5,Curso Occaecati 9,Perferendis sit doloribus aliquid ipsa molestiae quidem quod consequuntur voluptatibus doloremque totam nemo neque quo repellendus.,iniciante,186.86,69,2025-06-29 09:59:44,2025-07-14 09:59:44
10,18,Curso Ex 10,Soluta voluptates maxime impedit eius nam nihil quasi cupiditate perspiciatis nam.,intermediario,254.04,75,2024-08-21 16:09:00,2024-08-30 16:09:00
11,14,Bootcamp Architecto 11,Velit perferendis ratione eum impedit corrupti fugiat quidem labore sed error provident.,iniciante,425.06,58,2025-01-12 12:20:35,2025-02-25 12:20:35
12,12,Curso Officiis 12,Natus voluptas nam consequatur doloribus dignissimos officia ullam.,intermediario,250.01,36,2024-10-19 09:55:01,2024-12-01 09:55:01
13,12,Bootcamp Maxime 13,Modi repudiandae amet fugiat non aliquam asperiores rem.,avançado,211.30,56,2025-01-16 06:37:25,2025-01-23 06:37:25
14,15,Curso Repudiandae 14,Dolor distinctio tenetur esse tenetur distinctio deleniti qui quia quidem totam possimus provident id dolores.,avançado,145.35,8,2025-09-04 01:23:30,2025-09-19 01:23:30
15,5,Bootcamp Iste 15,Fugit modi facere ea maiores libero atque voluptatem iusto saepe totam.,iniciante,80.77,76,2025-03-26 16:11:05,2025-04-08 16:11:05
16,8,Formação Maxime 16,Impedit natus dolore corporis ea vel neque impedit corrupti ex fugit rerum.,iniciante,404.79,6,2025-01-15 08:15:59,2025-01-23 08:15:59
17,18,Formação Praesentium 17,Omnis placeat ducimus reprehenderit vitae odit laudantium cumque recusandae cumque quam laborum totam molestiae odit.,iniciante,99.37,9,2025-06-13 12:59:36,2025-07-05 12:59:36
18,8,Bootcamp Assumenda 18,Alias sed veniam pariatur quisquam impedit sapiente doloremque provident ab magni fuga nulla pariatur nulla.,intermediario,57.00,39,2025-09-02 08:55:09,2025-09-28 08:55:09
19,17,Curso Perspiciatis 19,Accusamus minus illum accusantium quam modi enim magnam praesentium inventore velit debitis ullam minima.,avançado,78.50,63,2024-10-19 18:50:52,2024-11-25 18:50:52
20,4,Formação Excepturi 20,Nulla dolorum explicabo recusandae aspernatur vero itaque doloribus possimus error.,avançado,149.60,11,2023-12-20 18:32:56,2024-01-08 18:32:56
21,15,Bootcamp Beatae 21,Atque fugit mollitia animi ab cupiditate libero.,iniciante,77.27,67,2024-09-08 22:00:51,2024-10-21 22:00:51
22,4,Formação Nostrum 22,Natus similique atque minus aliquam distinctio sint suscipit labore aliquid asperiores unde.,avançado,459.27,15,2025-08-04 01:48:24,2025-09-11 01:48:24
23,5,Curso Quisquam 23,Omnis debitis sed accusamus dignissimos corporis reprehenderit reprehenderit ut error natus necessitatibus sed perspiciatis molestiae.,iniciante,173.66,80,2024-04-12 01:41:41,2024-05-06 01:41:41
24,20,Bootcamp Molestiae 24,Ratione porro aspernatur quia exercitationem atque doloremque asperiores non.,intermediario,254.07,61,2025-07-16 09:22:07,2025-08-26 09:22:07
25,21,Bootcamp Sint 25,Id quo adipisci earum voluptatibus laudantium explicabo velit inventore perspiciatis optio assumenda nulla reiciendis quae aspernatur.,avançado,439.37,61,2024-07-20 05:12:54,2024-08-15 05:12:54
26,11,Formação Dolor 26,Quae odio qui et autem a est facere earum consequatur deleniti ipsum.,intermediario,237.10,18,2024-12-08 21:59:47,2024-12-28 21:59:47
27,22,Formação Quos 27,Illum ad explicabo at nisi eveniet harum eos harum assumenda temporibus temporibus voluptatem nemo cumque.,intermediario,479.02,66,2025-08-18 10:12:46,2025-08-23 10:12:46
28,3,Formação Modi 28,Consequuntur error laudantium aperiam ipsa in laborum asperiores dolorum.,iniciante,384.97,53,2025-06-13 17:16:39,2025-06-16 17:16:39
29,19,Bootcamp Expedita 29,Libero nulla itaque consequatur ab id sapiente fugit similique ipsam inventore reprehenderit officiis nisi error nobis.,avançado,198.24,21,2024-08-31 00:39:37,2024-10-12 00:39:37
30,25,Formação Voluptate 30,Laboriosam debitis id eum quasi odio voluptas quos eveniet eligendi.,avançado,73.05,42,2024-02-19 02:09:30,2024-03-12 02:09:30
31,4,Bootcamp Mollitia 31,Beatae natus nihil molestias placeat mollitia veritatis iure provident ipsa eos possimus.,avançado,145.63,67,2025-03-10 09:35:39,2025-04-01 09:35:39
32,18,Formação Nemo 32,Consequuntur esse dolorum culpa incidunt fugiat ipsum nisi neque modi unde sit in alias.,iniciante,393.07,79,2025-03-07 21:54:39,2025-04-11 21:54:39
33,25,Bootcamp Magni 33,Nisi totam autem dolorum optio cumque nostrum natus officia officia vitae ex recusandae autem atque.,avançado,353.64,77,2025-09-28 15:21:41,2025-10-25 13:32:03
34,23,Formação Est 34,Quia nam porro dolore fugiat iure perspiciatis porro corrupti voluptatum laboriosam eos ullam assumenda rerum.,iniciante,131.09,45,2024-11-12 00:45:14,2024-11-12 00:45:14
35,6,Curso Dicta 35,Est iste dignissimos laboriosam labore ipsa possimus eum error repellat beatae sed.,avançado,345.71,14,2025-06-01 14:28:52,2025-06-02 14:28:52
36,3,Bootcamp Tenetur 36,Perspiciatis cum voluptates doloribus cupiditate cum nam vero.,avançado,146.71,59,2024-07-18 01:07:22,2024-07-28 01:07:22
37,12,Formação Eveniet 37,Occaecati delectus omnis hic qui sunt ipsum inventore a dolor eius provident recusandae.,avançado,195.87,78,2024-02-23 10:26:28,2024-02-26 10:26:28
38,5,Curso Repellat 38,Reiciendis modi facilis deserunt beatae perferendis laudantium vitae.,avançado,72.29,16,2025-01-19 21:24:04,2025-03-02 21:24:04
39,14,Formação Ipsam 39,Harum hic beatae explicabo itaque cupiditate perferendis reiciendis ullam nihil perferendis est dolores blanditiis fuga consequuntur.,avançado,248.82,40,2025-03-18 18:52:49,2025-03-25 18:52:49
40,12,Formação Molestias 40,Nisi nemo in laborum modi ullam ut cupiditate cumque enim deleniti sapiente nulla.,iniciante,177.36,68,2024-05-04 02:18:18,2024-05-06 02:18:18
41,8,Formação Magnam 41,Laborum deserunt fugit natus officiis illum laudantium.,avançado,74.55,32,2024-12-21 05:50:37,2024-12-29 05:50:37
42,25,Formação Voluptatum 42,Laborum assumenda adipisci quis eos eius modi cumque itaque quia quisquam mollitia beatae.,intermediario,197.56,6,2024-06-02 21:51:17,2024-06-13 21:51:17
43,5,Formação Cum 43,Quod reprehenderit facilis reprehenderit aliquam quaerat molestias voluptatibus aut rerum quibusdam.,avançado,366.55,70,2024-04-01 00:38:22,2024-04-05 00:38:22
44,13,Bootcamp In 44,Ipsum expedita repellendus ipsa voluptatibus quod dolores.,iniciante,246.20,64,2025-08-07 02:08:10,2025-09-12 02:08:10
45,14,Bootcamp Repudiandae 45,Similique nostrum incidunt nulla quos repellendus rem necessitatibus minus nisi cumque voluptatem.,intermediario,369.17,59,2025-01-02 09:20:27,2025-01-27 09:20:27
46,1,Formação Illum 46,Nemo veritatis maiores tempore repellendus consequatur quibusdam illum animi eius omnis.,iniciante,410.49,64,2023-11-19 00:21:35,2023-11-24 00:21:35
47,14,Curso Voluptates 47,Dolorum quae repudiandae quis perspiciatis laudantium neque eaque impedit.,iniciante,245.95,57,2024-05-07 10:40:15,2024-06-01 10:40:15
48,10,Bootcamp Odio 48,Odio sunt at maiores eius vel fuga veniam.,intermediario,149.61,27,2025-08-07 18:56:53,2025-09-16 18:56:53
49,4,Bootcamp Itaque 49,A quo quasi quasi itaque optio facere aperiam modi dolor inventore distinctio eaque repudiandae excepturi neque.,avançado,137.16,50,2024-10-30 14:02:04,2024-11-08 14:02:04
50,8,Curso Recusandae 50,Ratione tempora quis aliquid numquam saepe accusamus ut culpa itaque voluptatibus incidunt voluptatum tenetur.,iniciante,165.09,28,2024-02-17 07:58:07,2024-03-29 07:58:07
51,3,Curso Totam 51,Culpa ut earum omnis dolorum fuga temporibus cumque id esse praesentium.,avançado,272.25,78,2024-03-10 21:11:25,2024-04-22 21:11:25
52,19,Bootcamp Eveniet 52,Omnis provident a labore consequatur dolorem perspiciatis ab possimus repellendus voluptates in consequatur.,avançado,493.84,47,2024-01-22 02:01:27,2024-01-31 02:01:27
53,15,Curso Aut 53,Fugit quas aut et sunt consequatur quo quidem consequatur voluptatibus.,intermediario,248.89,44,2025-01-16 16:00:05,2025-01-19 16:00:05
54,12,Bootcamp Dicta 54,Minus ab officiis ipsam quam occaecati corrupti illum.,iniciante,189.58,63,2025-09-17 11:27:47,2025-10-10 11:27:47
55,10,Curso Vitae 55,Similique assumenda aut quibusdam nihil fugit vitae et consequuntur eius assumenda mollitia nobis.,avançado,438.81,17,2024-02-03 15:54:16,2024-03-06 15:54:16
56,13,Formação Sequi 56,Quod porro sed omnis error maxime magni quibusdam eos amet tempore.,avançado,299.34,11,2024-07-21 16:43:15,2024-08-31 16:43:15
57,7,Formação Excepturi 57,Harum dolores odit architecto suscipit accusamus facere et harum saepe in molestias cupiditate iusto.,avançado,263.93,25,2025-08-22 21:07:53,2025-08-28 21:07:53
58,11,Bootcamp Aut 58,Nesciunt accusamus dolor ullam veniam id enim.,iniciante,276.95,28,2025-09-15 04:30:51,2025-10-25 13:32:03
59,15,Formação Provident 59,Incidunt illo odit modi corrupti assumenda aspernatur ullam voluptate culpa eveniet nesciunt quis.,avançado,285.14,26,2024-10-17 23:57:33,2024-11-04 23:57:33
60,13,Formação Totam 60,Est ipsa veritatis dolores doloribus unde blanditiis nostrum.,intermediario,355.40,12,2024-01-17 13:58:00,2024-02-07 13:58:00
61,3,Formação Aspernatur 61,Pariatur omnis cupiditate accusamus consequatur accusamus libero expedita maxime reprehenderit ea.,iniciante,300.98,55,2025-01-08 04:21:34,2025-02-19 04:21:34
62,20,Curso Minima 62,Quibusdam sit quasi blanditiis tempore ex inventore minima ea.,intermediario,86.58,24,2024-11-01 02:14:21,2024-12-12 02:14:21
63,23,Bootcamp Repellat 63,Aspernatur iste facere libero necessitatibus facilis ducimus aut nemo quam dolorem magni aliquid sint doloribus iusto.,intermediario,107.93,16,2024-12-11 17:11:04,2025-01-04 17:11:04
64,21,Formação Molestiae 64,Debitis vero alias rem quae omnis dolore dolorum totam.,iniciante,351.45,73,2025-07-21 14:00:48,2025-09-01 14:00:48
65,14,Bootcamp Ipsum 65,Repudiandae nemo blanditiis perferendis amet dolore maiores aliquid id soluta sint.,intermediario,58.10,45,2025-04-24 05:44:09,2025-05-15 05:44:09
66,25,Formação Ipsa 66,Assumenda itaque fuga eos quos qui doloribus fuga voluptas voluptatum quod quasi.,iniciante,151.84,23,2025-05-20 10:43:29,2025-06-07 10:43:29
67,4,Bootcamp Quisquam 67,Corrupti ut ad molestiae odio possimus ab ex quis fugiat.,avançado,425.70,73,2025-09-17 01:16:23,2025-10-25 13:32:03
68,5,Bootcamp Inventore 68,Dignissimos voluptatem in vero voluptate consequuntur eius aliquam.,intermediario,119.31,29,2023-11-15 14:47:18,2023-11-25 14:47:18
69,24,Formação Eveniet 69,Impedit tempora itaque quibusdam neque magnam odio hic nihil aperiam optio consectetur eos sed unde.,iniciante,234.79,36,2024-07-27 15:18:12,2024-08-14 15:18:12
70,25,Bootcamp Mollitia 70,Et earum asperiores dicta quod nesciunt culpa cum iure illo modi vitae.,intermediario,155.20,36,2024-12-12 20:27:29,2024-12-24 20:27:29
71,12,Bootcamp Eos 71,Est eaque blanditiis culpa placeat repudiandae possimus aliquam saepe eveniet at dolorum explicabo maiores.,avançado,492.90,65,2025-01-09 23:37:51,2025-02-10 23:37:51
72,17,Formação Veritatis 72,Ea voluptatibus adipisci illo iste quibusdam dolorum iure rem consequuntur accusamus.,iniciante,417.50,23,2025-02-11 11:38:04,2025-03-24 11:38:04
73,16,Formação Est 73,Dicta id placeat vel assumenda nesciunt totam asperiores voluptatum.,avançado,470.33,72,2025-06-20 03:09:20,2025-06-25 03:09:20
74,25,Curso Eius 74,Repellat at sed repellat commodi velit amet unde inventore quam libero fugit incidunt.,intermediario,252.09,71,2025-05-27 21:36:23,2025-06-01 21:36:23
75,8,Formação Libero 75,Tenetur eius ipsum corrupti nostrum nulla officia libero sunt laboriosam.,intermediario,468.61,59,2025-08-31 23:05:59,2025-10-02 23:05:59
76,12,Curso Commodi 76,Fugit in odit reiciendis dolorum voluptatibus molestiae accusantium fugit quae laboriosam.,intermediario,497.44,53,2025-03-10 12:30:29,2025-03-30 12:30:29
77,4,Bootcamp Placeat 77,Totam magnam harum debitis eum dolor tempore quod animi voluptatibus minus quisquam.,avançado,200.78,24,2025-06-07 12:08:23,2025-06-25 12:08:23
78,16,Bootcamp Eveniet 78,Aut omnis eaque repellendus totam animi voluptatum dolor sed.,iniciante,391.38,66,2024-07-22 15:07:49,2024-07-22 15:07:49
79,3,Curso Molestias 79,Vel voluptatibus cupiditate dolores et qui facere nihil provident explicabo necessitatibus consequuntur.,intermediario,146.94,25,2024-04-11 15:21:56,2024-05-14 15:21:56
80,14,Curso Eaque 80,Molestiae cupiditate alias animi nobis accusantium labore ex nostrum rem exercitationem debitis rem sit.,intermediario,156.84,21,2025-09-07 04:51:11,2025-10-03 04:51:11
