id,aluno_id,curso_id,data_matricula,status_matricula,data_conclusao
1,107,65,2025-09-11 06:26:12,pendente,default
2,237,49,2024-11-09 08:43:27,concluida,2025-01-03 08:43:27
3,20,2,2025-02-12 19:05:18,concluida,2025-03-06 19:05:18
4,168,60,2024-06-17 06:27:59,pendente,default
5,281,32,2023-10-27 07:19:36,pendente,default
6,143,21,2025-05-05 22:36:22,ativa,default
7,91,38,2025-06-21 03:47:51,concluida,2025-07-17 03:47:51
8,40,2,2023-12-03 13:18:54,ativa,default
9,184,23,2025-03-19 22:00:35,concluida,2025-05-31 22:00:35
10,111,57,2023-11-13 21:31:30,concluida,2024-02-29 21:31:30
11,268,14,2024-09-22 12:02:17,ativa,default
12,3,7,2024-10-05 15:55:07,cancelada,default
13,192,31,2025-04-05 19:56:11,pendente,default
14,15,2,2024-11-15 16:16:04,ativa,default
15,33,29,2025-07-20 17:09:05,concluida,2025-07-30 17:09:05
16,213,66,2025-07-08 11:21:10,ativa,default
17,98,80,2025-03-28 03:32:27,ativa,default
18,220,16,2025-03-03 15:28:49,pendente,default
19,166,23,2025-10-11 08:37:20,ativa,default
20,7,50,2025-03-23 06:33:37,ativa,default
21,143,80,2024-10-14 21:39:50,pendente,default
22,112,53,2024-12-22 01:27:35,ativa,default
23,53,69,2024-03-23 17:01:16,ativa,default
24,49,77,2024-11-28 00:17:40,ativa,default
25,69,43,2025-04-30 00:07:52,concluida,2025-08-01 00:07:52
26,163,62,2025-08-18 11:03:47,pendente,default
27,300,58,2024-09-30 04:39:28,ativa,default
28,120,65,2024-03-04 22:46:47,ativa,default
29,64,40,2025-02-26 07:39:45,concluida,2025-05-21 07:39:45
30,41,8,2025-06-08 09:37:40,ativa,default
31,104,20,2024-10-07 15:49:20,ativa,default
32,122,77,2024-07-29 11:17:47,pendente,default
33,163,6,2024-05-11 08:09:29,ativa,default
34,148,4,2025-03-06 11:12:09,ativa,default
35,106,70,2025-09-01 14:13:19,concluida,2025-10-26 23:15:49
36,114,78,2024-10-01 04:16:39,ativa,default
37,227,1,2025-08-21 05:21:49,pendente,default
38,99,7,2024-01-16 18:06:39,cancelada,default
39,65,12,2025-05-02 01:41:12,ativa,default
