id,curso_id,titulo,ordem,descricao
1,1,Módulo 1,1,Accusantium nesciunt totam quo sed similique.
2,1,Módulo 2,2,Fuga velit hic aut error consequatur.
3,1,Módulo 3,3,Quasi ipsa odit laborum et provident natus suscipit.
4,1,Módulo 4,4,Ratione dolore nihil cupiditate esse porro consectetur quas veniam veniam hic voluptatibus vitae.
5,1,Módulo 5,5,Delectus et repellat nostrum odit aut.
6,2,Módulo 1,1,Consequuntur quia dolores voluptatem cumque suscipit at quae odit suscipit ipsum eaque.
7,2,Módulo 2,2,Possimus expedita ratione quam aliquid ipsa in cumque impedit.
8,2,Módulo 3,3,Expedita fugiat repudiandae ratione neque quis dolorem iste reiciendis alias.
9,2,Módulo 4,4,Eum veritatis asperiores cumque fugiat quasi.
10,2,Módulo 5,5,Velit voluptatem excepturi voluptates tempora provident inventore officiis non ipsa amet ex voluptate.
11,2,Módulo 6,6,Possimus quam quas eaque eligendi dolores amet nemo saepe corrupti facere.
12,3,Módulo 1,1,Assumenda reprehenderit numquam laboriosam atque dignissimos odit voluptate labore blanditiis quos.
13,3,Módulo 2,2,Laudantium optio at molestias delectus suscipit fuga ipsum ea iure dolorem eaque.
14,3,Módulo 3,3,Corrupti possimus atque pariatur repellat impedit.
15,3,Módulo 4,4,Dolorem aperiam harum minima vitae porro vel nemo doloremque error hic sequi alias.
16,3,Módulo 5,5,Tempore reiciendis perspiciatis nulla blanditiis quidem cupiditate voluptates voluptas repellat commodi incidunt voluptates.
17,3,Módulo 6,6,Dicta reprehenderit corporis nisi eum quas rem assumenda nam mollitia sequi.
18,3,Módulo 7,7,Itaque sit ratione numquam minima in impedit corporis nihil quis velit unde.
19,4,Módulo 1,1,Quod ratione sint sunt soluta eaque omnis nemo labore cupiditate illo nulla perspiciatis.
20,4,Módulo 2,2,Aliquam suscipit ex dolores quia ullam tempore accusantium repellendus esse eligendi.
21,4,Módulo 3,3,Similique placeat voluptas dolorem error quia quo eum quas non at ipsam.
22,4,Módulo 4,4,Qui quis sint reprehenderit maiores culpa est magni consequatur sed sunt.
23,4,Módulo 5,5,Cupiditate soluta dicta animi alias amet.
24,5,Módulo 1,1,Provident earum reprehenderit magnam odio commodi adipisci fuga nisi debitis.
