id,matricula_id,valor_a_pagar,status_pagamento,criado_em,pago_em
default,1,58.10,pendente,2025-09-11 06:26:12,default
default,2,137.16,ativa,2024-11-09 08:43:27,default
default,3,140.26,ativa,2025-02-12 19:05:18,default
default,4,355.40,pendente,2024-06-17 06:27:59,default
default,5,393.07,ativa,2023-10-27 07:19:36,default
default,6,77.27,pendente,2025-05-05 22:36:22,default
default,7,72.29,ativa,2025-06-21 03:47:51,default
default,8,140.26,pendente,2023-12-03 13:18:54,default
default,9,173.66,pendente,2025-03-19 22:00:35,default
default,10,263.93,pendente,2023-11-13 21:31:30,default
default,11,145.35,ativa,2024-09-22 12:02:17,default
default,12,61.16,ativa,2024-10-05 15:55:07,default
default,13,145.63,ativa,2025-04-05 19:56:11,default
default,14,140.26,pendente,2024-11-15 16:16:04,default
default,15,198.24,ativa,2025-07-20 17:09:05,default
default,16,151.84,pendente,2025-07-08 11:21:10,default
default,17,156.84,pendente,2025-03-28 03:32:27,default
default,18,404.79,pendente,2025-03-03 15:28:49,default
default,19,173.66,ativa,2025-10-11 08:37:20,default
default,20,165.09,ativa,2025-03-23 06:33:37,default
default,21,156.84,pendente,2024-10-14 21:39:50,default
default,22,248.89,ativa,2024-12-22 01:27:35,default
default,23,234.79,pendente,2024-03-23 17:01:16,default
default,24,200.78,ativa,2024-11-28 00:17:40,default
default,25,366.55,pendente,2025-04-30 00:07:52,default
default,26,86.58,ativa,2025-08-18 11:03:47,default
default,27,276.95,ativa,2024-09-30 04:39:28,default
default,28,58.10,ativa,2024-03-04 22:46:47,default
default,29,177.36,ativa,2025-02-26 07:39:45,default
default,30,420.63,pendente,2025-06-08 09:37:40,default
default,31,149.60,pendente,2024-10-07 15:49:20,default
default,32,200.78,ativa,2024-07-29 11:17:47,default
default,33,167.87,ativa,2024-05-11 08:09:29,default
default,34,389.27,pendente,2025-03-06 11:12:09,default
default,35,155.20,concluida,2025-09-01 14:13:19,default
default,36,391.38,cancelada,2024-10-01 04:16:39,default
default,37,214.09,pendente,2025-08-21 05:21:49,default
default,38,61.16,ativa,2024-01-16 18:06:39,default
default,39,250.01,pendente,2025-05-02 01:41:12,default
default,40,145.63,pendente,2024-05-25 20:25:04,default
default,41,177.36,ativa,2025-05-11 16:04:18,default
default,42,391.38,ativa,2025-02-14 12:13:41,default
default,43,237.10,pendente,2025-01-21 05:44:41,default
default,44,272.25,ativa,2024-10-05 17:09:20,default
default,45,58.10,ativa,2024-02-10 07:28:59,default
default,46,461.22,pendente,2024-10-01 07:42:10,default
default,47,200.78,pendente,2024-04-24 17:42:02,default
default,48,353.64,concluida,2024-10-02 06:22:58,default
default,49,137.16,ativa,2024-03-30 01:11:57,default
default,50,57.00,pendente,2024-07-03 16:08:17,default
default,51,214.09,pendente,2025-10-13 05:02:02,default
default,52,493.84,ativa,2024-08-27 08:53:42,default
default,53,165.09,pendente,2024-06-12 12:03:24,default
default,54,248.89,ativa,2025-09-17 18:43:54,default
default,55,77.27,concluida,2025-04-11 07:22:43,default
default,56,151.84,ativa,2023-10-31 05:28:25,default
default,57,420.63,pendente,2023-12-30 09:14:03,default
default,58,393.07,pendente,2024-06-24 22:00:27,default
default,59,389.27,pendente,2023-11-11 23:46:04,default
default,60,78.50,pendente,2025-02-08 14:15:20,default
default,61,140.26,pendente,2025-06-29 19:54:11,default
default,62,272.25,pendente,2023-11-03 01:55:20,default
default,63,425.70,pendente,2025-04-16 07:51:53,default
default,64,353.64,pendente,2023-11-18 12:15:37,default
default,65,137.16,ativa,2024-03-05 12:03:02,default
default,66,145.35,ativa,2024-01-14 02:24:56,default
default,67,345.71,ativa,2025-03-26 08:46:27,default
default,68,459.27,ativa,2024-06-10 23:12:23,default
default,69,119.31,ativa,2024-08-25 23:26:00,default
default,70,459.27,ativa,2025-04-29 09:37:23,default
default,71,237.10,ativa,2024-06-15 16:38:16,default
default,72,276.95,ativa,2024-03-25 15:31:27,default
default,73,254.07,pendente,2025-04-13 13:49:16,default
default,74,263.93,ativa,2024-01-24 00:31:45,default
default,75,425.06,concluida,2024-12-30 20:08:36,default
default,76,186.86,concluida,2024-11-10 22:11:01,default
default,77,107.93,pendente,2023-12-08 19:35:36,default
default,78,214.09,ativa,2023-12-15 02:03:27,default
default,79,384.97,pendente,2024-05-10 22:59:58,default
default,80,345.71,ativa,2024-06-16 06:02:02,default
default,81,246.20,ativa,2024-10-12 10:46:22,default
default,82,245.95,ativa,2023-12-15 08:45:21,default
default,83,410.49,pendente,2024-11-22 19:36:59,default
